state_name,gender,category_name,aspirational_final,class,amount_of_scholarship
Bihar,Girls,SC,Non-Aspirational,10,170000.0
Bihar,Girls,ST,Aspirational,7,10000.0
Bihar,Girls,ST,Aspirational,8,40000.0
Bihar,Girls,ST,Non-Aspirational,7,20000.0
Bihar,Girls,ST,Non-Aspirational,8,20000.0
Bihar,Girls,ST,Non-Aspirational,9,30000.0
Bihar,Girls,ST,Non-Aspirational,10,20000.0
Chandigarh,Boys,Gen,Non-Aspirational,6,60000.0
Chandigarh,Boys,Gen,Non-Aspirational,7,100000.0
Chandigarh,Boys,Gen,Non-Aspirational,8,130000.0
Chandigarh,Boys,Gen,Non-Aspirational,9,180000.0
Chandigarh,Boys,Gen,Non-Aspirational,10,90000.0
Chandigarh,Boys,OBC,Non-Aspirational,8,20000.0
Chandigarh,Boys,OBC,Non-Aspirational,9,20000.0
Chandigarh,Boys,OBC,Non-Aspirational,10,40000.0
Chandigarh,Boys,SC,Non-Aspirational,8,30000.0
Chandigarh,Boys,SC,Non-Aspirational,9,40000.0
Chandigarh,Boys,SC,Non-Aspirational,10,40000.0
Chandigarh,Girls,Gen,Non-Aspirational,7,100000.0
Chandigarh,Girls,Gen,Non-Aspirational,8,80000.0
Chandigarh,Girls,Gen,Non-Aspirational,9,90000.0
Chandigarh,Girls,Gen,Non-Aspirational,10,80000.0
Chandigarh,Girls,OBC,Non-Aspirational,6,10000.0
Chandigarh,Girls,OBC,Non-Aspirational,8,10000.0
Chandigarh,Girls,OBC,Non-Aspirational,10,30000.0
Chandigarh,Girls,SC,Non-Aspirational,6,10000.0
Chandigarh,Girls,SC,Non-Aspirational,8,10000.0
Chandigarh,Girls,SC,Non-Aspirational,9,20000.0
Chandigarh,Girls,SC,Non-Aspirational,10,10000.0
Chandigarh,Girls,ST,Non-Aspirational,7,10000.0
Chandigarh,Girls,ST,Non-Aspirational,10,10000.0
Chhattisgarh,Boys,Gen,Aspirational,6,10000.0
Chhattisgarh,Boys,Gen,Aspirational,7,40000.0
Chhattisgarh,Boys,Gen,Aspirational,8,110000.0
Chhattisgarh,Boys,Gen,Aspirational,9,70000.0
Chhattisgarh,Boys,Gen,Aspirational,10,60000.0
Chhattisgarh,Boys,Gen,Non-Aspirational,6,120000.0
Chhattisgarh,Boys,Gen,Non-Aspirational,7,180000.0
Chhattisgarh,Boys,Gen,Non-Aspirational,8,230000.0
Chhattisgarh,Boys,Gen,Non-Aspirational,9,230000.0
Chhattisgarh,Boys,Gen,Non-Aspirational,10,330000.0
Chhattisgarh,Boys,OBC,Aspirational,6,130000.0
Chhattisgarh,Boys,OBC,Aspirational,7,360000.0
Chhattisgarh,Boys,OBC,Aspirational,8,580000.0
Chhattisgarh,Boys,OBC,Aspirational,9,450000.0
Chhattisgarh,Boys,OBC,Aspirational,10,610000.0
Chhattisgarh,Boys,OBC,Non-Aspirational,6,330000.0
Chhattisgarh,Boys,OBC,Non-Aspirational,7,1190000.0
Chhattisgarh,Boys,OBC,Non-Aspirational,8,1770000.0
Chhattisgarh,Boys,OBC,Non-Aspirational,9,1050000.0
Chhattisgarh,Boys,OBC,Non-Aspirational,10,1760000.0
Chhattisgarh,Boys,SC,Aspirational,6,30000.0
Chhattisgarh,Boys,SC,Aspirational,7,50000.0
Chhattisgarh,Boys,SC,Aspirational,8,50000.0
Chhattisgarh,Boys,SC,Aspirational,9,80000.0
Chhattisgarh,Boys,SC,Aspirational,10,70000.0
Chhattisgarh,Boys,SC,Non-Aspirational,6,70000.0
Chhattisgarh,Boys,SC,Non-Aspirational,7,250000.0
Chhattisgarh,Boys,SC,Non-Aspirational,8,440000.0
Chhattisgarh,Boys,SC,Non-Aspirational,9,300000.0
Chhattisgarh,Boys,SC,Non-Aspirational,10,360000.0
Chhattisgarh,Boys,ST,Aspirational,6,370000.0
Chhattisgarh,Boys,ST,Aspirational,7,470000.0
Chhattisgarh,Boys,ST,Aspirational,8,860000.0
Chhattisgarh,Boys,ST,Aspirational,9,470000.0
Chhattisgarh,Boys,ST,Aspirational,10,500000.0
Chhattisgarh,Boys,ST,Non-Aspirational,6,140000.0
Chhattisgarh,Boys,ST,Non-Aspirational,7,290000.0
Chhattisgarh,Boys,ST,Non-Aspirational,8,610000.0
Chhattisgarh,Boys,ST,Non-Aspirational,9,250000.0
Chhattisgarh,Boys,ST,Non-Aspirational,10,310000.0
Chhattisgarh,Girls,Gen,Aspirational,6,20000.0
Chhattisgarh,Girls,Gen,Aspirational,7,80000.0
Chhattisgarh,Girls,Gen,Aspirational,8,60000.0
Chhattisgarh,Girls,Gen,Aspirational,9,110000.0
Chhattisgarh,Girls,Gen,Aspirational,10,80000.0
Chhattisgarh,Girls,Gen,Non-Aspirational,6,50000.0
Chhattisgarh,Girls,Gen,Non-Aspirational,7,160000.0
Chhattisgarh,Girls,Gen,Non-Aspirational,8,210000.0
Chhattisgarh,Girls,Gen,Non-Aspirational,9,230000.0
Chhattisgarh,Girls,Gen,Non-Aspirational,10,320000.0
Chhattisgarh,Girls,OBC,Aspirational,6,170000.0
Chhattisgarh,Girls,OBC,Aspirational,7,350000.0
Chhattisgarh,Girls,OBC,Aspirational,8,780000.0
Chhattisgarh,Girls,OBC,Aspirational,9,500000.0
Chhattisgarh,Girls,OBC,Aspirational,10,580000.0
Chhattisgarh,Girls,OBC,Non-Aspirational,6,570000.0
Chhattisgarh,Girls,OBC,Non-Aspirational,7,1230000.0
Chhattisgarh,Girls,OBC,Non-Aspirational,8,2380000.0
Chhattisgarh,Girls,OBC,Non-Aspirational,9,1610000.0
Chhattisgarh,Girls,OBC,Non-Aspirational,10,2150000.0
Chhattisgarh,Girls,SC,Aspirational,6,40000.0
Chhattisgarh,Girls,SC,Aspirational,7,150000.0
Chhattisgarh,Girls,SC,Aspirational,8,150000.0
Chhattisgarh,Girls,SC,Aspirational,9,70000.0
Chhattisgarh,Girls,SC,Aspirational,10,130000.0
Chhattisgarh,Girls,SC,Non-Aspirational,6,200000.0
Chhattisgarh,Girls,SC,Non-Aspirational,7,410000.0
Chhattisgarh,Girls,SC,Non-Aspirational,8,750000.0
Chhattisgarh,Girls,SC,Non-Aspirational,9,310000.0
Chhattisgarh,Girls,SC,Non-Aspirational,10,520000.0
Chhattisgarh,Girls,ST,Aspirational,6,350000.0
Chhattisgarh,Girls,ST,Aspirational,7,610000.0
Chhattisgarh,Girls,ST,Aspirational,8,980000.0
Chhattisgarh,Girls,ST,Aspirational,9,420000.0
Chhattisgarh,Girls,ST,Aspirational,10,680000.0
Chhattisgarh,Girls,ST,Non-Aspirational,6,240000.0
Chhattisgarh,Girls,ST,Non-Aspirational,7,590000.0
Chhattisgarh,Girls,ST,Non-Aspirational,8,1000000.0
Chhattisgarh,Girls,ST,Non-Aspirational,9,350000.0
Chhattisgarh,Girls,ST,Non-Aspirational,10,570000.0
Dadra and Nagar Haveli & Daman and Diu,Boys,Gen,Non-Aspirational,8,10000.0
Dadra and Nagar Haveli & Daman and Diu,Boys,Gen,Non-Aspirational,9,20000.0
Dadra and Nagar Haveli & Daman and Diu,Boys,Gen,Non-Aspirational,10,10000.0
Dadra and Nagar Haveli & Daman and Diu,Girls,Gen,Non-Aspirational,9,10000.0
Dadra and Nagar Haveli & Daman and Diu,Girls,Gen,Non-Aspirational,10,10000.0
Delhi,Boys,Gen,Non-Aspirational,6,80000.0
Delhi,Boys,Gen,Non-Aspirational,7,80000.0
Delhi,Boys,Gen,Non-Aspirational,8,140000.0
Delhi,Boys,Gen,Non-Aspirational,9,390000.0
Delhi,Boys,Gen,Non-Aspirational,10,300000.0
Delhi,Boys,OBC,Non-Aspirational,6,10000.0
Delhi,Boys,OBC,Non-Aspirational,8,30000.0
Delhi,Boys,OBC,Non-Aspirational,9,30000.0
Delhi,Boys,OBC,Non-Aspirational,10,50000.0
Delhi,Boys,SC,Non-Aspirational,8,30000.0
Delhi,Boys,SC,Non-Aspirational,9,10000.0
Delhi,Boys,SC,Non-Aspirational,10,40000.0
Delhi,Girls,Gen,Non-Aspirational,6,50000.0
Delhi,Girls,Gen,Non-Aspirational,7,80000.0
Delhi,Girls,Gen,Non-Aspirational,8,130000.0
Delhi,Girls,Gen,Non-Aspirational,9,210000.0
Delhi,Girls,Gen,Non-Aspirational,10,270000.0
Delhi,Girls,OBC,Non-Aspirational,8,30000.0
Delhi,Girls,OBC,Non-Aspirational,9,10000.0
Delhi,Girls,OBC,Non-Aspirational,10,10000.0
Delhi,Girls,SC,Non-Aspirational,6,20000.0
Delhi,Girls,SC,Non-Aspirational,8,10000.0
Delhi,Girls,SC,Non-Aspirational,9,10000.0
Delhi,Girls,SC,Non-Aspirational,10,10000.0
Goa,Boys,Gen,Non-Aspirational,7,10000.0
Goa,Boys,Gen,Non-Aspirational,8,30000.0
Goa,Boys,Gen,Non-Aspirational,9,10000.0
Goa,Boys,Gen,Non-Aspirational,10,10000.0
Goa,Boys,OBC,Non-Aspirational,6,10000.0
Goa,Boys,OBC,Non-Aspirational,9,10000.0
Goa,Boys,ST,Non-Aspirational,7,10000.0
Goa,Boys,ST,Non-Aspirational,8,10000.0
Goa,Girls,Gen,Non-Aspirational,8,10000.0
