Year,State name,District Name,Aspirational Final,Class,Amount of Scholarship,Scholarship_Category_Ratio,Gender_Binary,Cat_Gen,Cat_Obc,Cat_Sc,Cat_St
2023,Jharkhand,Palamu,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Jharkhand,Palamu,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Jharkhand,Pakur,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Jharkhand,Pakur,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Jharkhand,Purbi Singhbhum,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Jharkhand,Ramgarh,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Jharkhand,Ranchi,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Odisha,Balangir,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Odisha,Balangir,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Odisha,Dhenkanal,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Odisha,Kalahandi,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Odisha,Kandhamal,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Rajasthan,Jaisalmer,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Tamil Nadu,Virudhunagar,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Telangana,Bhadradri-Kothagudem,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Telangana,Bhadradri-Kothagudem,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Uttar Pradesh,Balrampur(1),Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Uttarakhand,Udham Singh Nagar,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Uttarakhand,Udham Singh Nagar,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Andhra Pradesh,Visakhapatnam,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Andhra Pradesh,Visakhapatnam,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Andhra Pradesh,Visakhapatnam,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Andhra Pradesh,Y.S.R.,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Andhra Pradesh,Y.S.R.,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Andhra Pradesh,Y.S.R.,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Andhra Pradesh,Y.S.R.,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Andhra Pradesh,Y.S.R.,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Andhra Pradesh,Y.S.R.,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Andhra Pradesh,Y.S.R.,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Bihar,Aurangabad(1),Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Bihar,Aurangabad(1),Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Bihar,Aurangabad(1),Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Bihar,Aurangabad(1),Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Bihar,Aurangabad(1),Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Bihar,Aurangabad(1),Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Bihar,Aurangabad(1),Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Bihar,Begusarai,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Bihar,Begusarai,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Bihar,Begusarai,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Bihar,Banka,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Bihar,Begusarai,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Bihar,Gaya,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Bihar,Katihar,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Bihar,Muzaffarpur,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Bihar,Muzaffarpur,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Bihar,Nawada,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Bihar,Nawada,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Chhattisgarh,Bastar,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Chhattisgarh,Korba,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Chhattisgarh,Korba,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Chhattisgarh,Sukma,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Himachal Pradesh,Chamba,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Himachal Pradesh,Chamba,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Himachal Pradesh,Chamba,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Jammu & Kashmir,Baramulla,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Jammu & Kashmir,Baramulla,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Jammu & Kashmir,Baramulla,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Jammu & Kashmir,Baramulla,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Jammu & Kashmir,Baramulla,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Jammu & Kashmir,Baramulla,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Jammu & Kashmir,Baramulla,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Jammu & Kashmir,Baramulla,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Jammu & Kashmir,Baramulla,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Jammu & Kashmir,Baramulla,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Jammu & Kashmir,Baramulla,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Jammu & Kashmir,Baramulla,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Jammu & Kashmir,Baramulla,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Jammu & Kashmir,Baramulla,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
2023,Jammu & Kashmir,Baramulla,Aspirational,7,10000,0.22982411654871948,0,True,False,False,False
