state_name,category_name,aspirational_final,class,amount_of_scholarship,gender_male
Jammu & Kashmir,OBC,True,0.5,40000.0,True
Jammu & Kashmir,OBC,True,0.75,20000.0,True
Jammu & Kashmir,OBC,True,1.0,20000.0,True
Jammu & Kashmir,OBC,False,0.0,20000.0,True
Jammu & Kashmir,OBC,False,0.25,70000.0,True
Jammu & Kashmir,OBC,False,0.5,100000.0,True
Jammu & Kashmir,OBC,False,0.75,20000.0,True
Jammu & Kashmir,OBC,False,1.0,50000.0,True
Jammu & Kashmir,SC,True,0.75,10000.0,True
Jammu & Kashmir,SC,False,0.0,10000.0,True
Jammu & Kashmir,SC,False,0.25,50000.0,True
Jammu & Kashmir,SC,False,0.5,90000.0,True
Jammu & Kashmir,SC,False,1.0,60000.0,True
Jammu & Kashmir,ST,True,0.0,20000.0,True
Jammu & Kashmir,ST,True,0.25,10000.0,True
Jammu & Kashmir,ST,True,0.5,30000.0,True
Jammu & Kashmir,ST,True,0.75,10000.0,True
Jammu & Kashmir,ST,False,0.0,70000.0,True
Jammu & Kashmir,ST,False,0.25,60000.0,True
Jammu & Kashmir,ST,False,0.5,40000.0,True
Jammu & Kashmir,ST,False,0.75,50000.0,True
Jammu & Kashmir,ST,False,1.0,60000.0,True
Jammu & Kashmir,Gen,True,0.0,180000.0,False
Jammu & Kashmir,Gen,True,0.25,80000.0,False
Jammu & Kashmir,Gen,True,0.5,170000.0,False
Jammu & Kashmir,Gen,True,0.75,160000.0,False
Jammu & Kashmir,Gen,True,1.0,50000.0,False
Jammu & Kashmir,Gen,False,0.0,310000.0,False
Jammu & Kashmir,Gen,False,0.25,440000.0,False
Jammu & Kashmir,Gen,False,0.5,590000.0,False
Jammu & Kashmir,Gen,False,0.75,530000.0,False
Jammu & Kashmir,Gen,False,1.0,470000.0,False
Jammu & Kashmir,OBC,True,0.0,30000.0,False
Jammu & Kashmir,OBC,True,0.75,20000.0,False
Jammu & Kashmir,OBC,True,1.0,10000.0,False
Jammu & Kashmir,OBC,False,0.0,10000.0,False
Jammu & Kashmir,OBC,False,0.25,40000.0,False
Jammu & Kashmir,OBC,False,0.5,90000.0,False
Jammu & Kashmir,OBC,False,0.75,30000.0,False
Jammu & Kashmir,OBC,False,1.0,20000.0,False
Jammu & Kashmir,SC,False,0.0,30000.0,False
Jammu & Kashmir,SC,False,0.25,20000.0,False
Jammu & Kashmir,SC,False,0.5,70000.0,False
Jammu & Kashmir,SC,False,0.75,20000.0,False
Jammu & Kashmir,SC,False,1.0,40000.0,False
Jammu & Kashmir,ST,True,0.75,10000.0,False
Jammu & Kashmir,ST,False,0.0,20000.0,False
Jammu & Kashmir,ST,False,0.25,50000.0,False
Jammu & Kashmir,ST,False,0.5,60000.0,False
Jammu & Kashmir,ST,False,0.75,30000.0,False
Jammu & Kashmir,ST,False,1.0,20000.0,False
Jharkhand,Gen,True,0.0,160000.0,True
Jharkhand,Gen,True,0.25,210000.0,True
Jharkhand,Gen,True,0.5,180000.0,True
Jharkhand,Gen,True,0.75,320000.0,True
Jharkhand,Gen,True,1.0,290000.0,True
Jharkhand,Gen,False,0.0,10000.0,True
Jharkhand,Gen,False,0.25,20000.0,True
Jharkhand,Gen,False,0.5,90000.0,True
Jharkhand,Gen,False,0.75,50000.0,True
Jharkhand,Gen,False,1.0,170000.0,True
Jharkhand,OBC,True,0.0,300000.0,True
Jharkhand,OBC,True,0.25,570000.0,True
Jharkhand,OBC,True,0.5,1120000.0,True
Jharkhand,OBC,True,0.75,660000.0,True
Jharkhand,OBC,True,1.0,1040000.0,True
