Year,State name,District Name,Aspirational Final,Category name,Class,Gender,Amount of Scholarship,Scholarship_Category_Ratio
2023,Rajasthan,Dholpur,Aspirational,Gen,7,Girls,10000,0.22982411654871948
2023,Rajasthan,Karauli,Aspirational,Gen,7,Girls,10000,0.22982411654871948
2023,Rajasthan,Karauli,Aspirational,Obc,7,Girls,10000,0.5243309282865771
2023,Rajasthan,Sirohi,Aspirational,Obc,7,Girls,10000,0.5243309282865771
2023,Odisha,Rayagada,Aspirational,Gen,9,Girls,10000,0.22982411654871948
2023,Punjab,Firozpur,Aspirational,Gen,9,Girls,10000,0.22982411654871948
2023,Rajasthan,Dholpur,Aspirational,Gen,9,Girls,10000,0.22982411654871948
2023,Rajasthan,Karauli,Aspirational,Gen,9,Girls,10000,0.22982411654871948
2023,Rajasthan,Sirohi,Aspirational,Gen,9,Girls,10000,0.22982411654871948
2023,Odisha,Rayagada,Aspirational,Obc,9,Girls,10000,0.5243309282865771
2023,Odisha,Rayagada,Aspirational,Obc,9,Girls,10000,0.5243309282865771
2023,Odisha,Rayagada,Aspirational,Obc,9,Girls,10000,0.5243309282865771
2023,Punjab,Firozpur,Aspirational,Obc,9,Girls,10000,0.5243309282865771
2023,Punjab,Firozpur,Aspirational,Obc,9,Girls,10000,0.5243309282865771
2023,Rajasthan,Karauli,Aspirational,Obc,9,Girls,10000,0.5243309282865771
2023,Rajasthan,Karauli,Aspirational,Obc,9,Girls,10000,0.5243309282865771
2023,Rajasthan,Sirohi,Aspirational,Obc,9,Girls,10000,0.5243309282865771
2023,Odisha,Rayagada,Aspirational,Obc,10,Girls,10000,0.5243309282865771
2023,Odisha,Rayagada,Aspirational,Obc,10,Girls,10000,0.5243309282865771
2023,Punjab,Moga,Aspirational,Obc,10,Girls,10000,0.5243309282865771
2023,Rajasthan,Karauli,Aspirational,Obc,10,Girls,10000,0.5243309282865771
2023,Rajasthan,Karauli,Aspirational,Obc,10,Girls,10000,0.5243309282865771
2023,Rajasthan,Karauli,Aspirational,Obc,10,Girls,10000,0.5243309282865771
2023,Rajasthan,Karauli,Aspirational,Obc,10,Girls,10000,0.5243309282865771
2023,Rajasthan,Karauli,Aspirational,Obc,10,Girls,10000,0.5243309282865771
2023,Rajasthan,Karauli,Aspirational,Obc,10,Girls,10000,0.5243309282865771
2023,Rajasthan,Karauli,Aspirational,Obc,10,Girls,10000,0.5243309282865771
2023,Rajasthan,Sirohi,Aspirational,Obc,10,Girls,10000,0.5243309282865771
2023,Rajasthan,Sirohi,Aspirational,Obc,10,Girls,10000,0.5243309282865771
2023,Rajasthan,Sirohi,Aspirational,Obc,10,Girls,10000,0.5243309282865771
2023,Punjab,Firozpur,Aspirational,Sc,6,Girls,10000,0.15246305986491782
2023,Punjab,Firozpur,Aspirational,Sc,6,Girls,10000,0.15246305986491782
2023,Tamil Nadu,Ramanathapuram,Aspirational,Sc,6,Girls,10000,0.15246305986491782
2023,Punjab,Firozpur,Aspirational,Sc,7,Girls,10000,0.15246305986491782
2023,Punjab,Firozpur,Aspirational,Sc,7,Girls,10000,0.15246305986491782
2023,Rajasthan,Karauli,Aspirational,Sc,7,Girls,10000,0.15246305986491782
2023,Rajasthan,Karauli,Aspirational,Sc,7,Girls,10000,0.15246305986491782
2023,Rajasthan,Karauli,Aspirational,Sc,7,Girls,10000,0.15246305986491782
2023,Rajasthan,Sirohi,Aspirational,Sc,7,Girls,10000,0.15246305986491782
2023,Rajasthan,Sirohi,Aspirational,Sc,7,Girls,10000,0.15246305986491782
2023,Tamil Nadu,Ramanathapuram,Aspirational,Sc,7,Girls,10000,0.15246305986491782
2023,Tamil Nadu,Ramanathapuram,Aspirational,Sc,7,Girls,10000,0.15246305986491782
2023,Tamil Nadu,Ramanathapuram,Aspirational,Sc,7,Girls,10000,0.15246305986491782
2023,Odisha,Rayagada,Aspirational,Sc,8,Girls,10000,0.15246305986491782
2023,Punjab,Firozpur,Aspirational,Sc,8,Girls,10000,0.15246305986491782
2023,Punjab,Firozpur,Aspirational,Sc,8,Girls,10000,0.15246305986491782
2023,Punjab,Firozpur,Aspirational,Sc,8,Girls,10000,0.15246305986491782
2023,Punjab,Firozpur,Aspirational,Sc,8,Girls,10000,0.15246305986491782
2023,Punjab,Moga,Aspirational,Sc,8,Girls,10000,0.15246305986491782
2023,Rajasthan,Karauli,Aspirational,Sc,8,Girls,10000,0.15246305986491782
2023,Rajasthan,Karauli,Aspirational,Sc,8,Girls,10000,0.15246305986491782
2023,Rajasthan,Karauli,Aspirational,Sc,8,Girls,10000,0.15246305986491782
2023,Rajasthan,Sirohi,Aspirational,Sc,8,Girls,10000,0.15246305986491782
2023,Rajasthan,Sirohi,Aspirational,Sc,8,Girls,10000,0.15246305986491782
2023,Tamil Nadu,Ramanathapuram,Aspirational,Sc,8,Girls,10000,0.15246305986491782
2023,Odisha,Rayagada,Aspirational,Sc,9,Girls,10000,0.15246305986491782
2023,Odisha,Rayagada,Aspirational,Sc,9,Girls,10000,0.15246305986491782
2023,Odisha,Rayagada,Aspirational,Sc,9,Girls,10000,0.15246305986491782
2023,Odisha,Rayagada,Aspirational,Sc,9,Girls,10000,0.15246305986491782
2023,Punjab,Firozpur,Aspirational,Sc,9,Girls,10000,0.15246305986491782
2023,Punjab,Firozpur,Aspirational,Sc,9,Girls,10000,0.15246305986491782
2023,Punjab,Firozpur,Aspirational,Sc,9,Girls,10000,0.15246305986491782
2023,Rajasthan,Karauli,Aspirational,Sc,9,Girls,10000,0.15246305986491782
2023,Rajasthan,Sirohi,Aspirational,Sc,9,Girls,10000,0.15246305986491782
2023,Andhra Pradesh,Y.S.R.,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Bihar,Aurangabad(1),Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Bihar,Aurangabad(1),Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Bihar,Aurangabad(1),Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Bihar,Aurangabad(1),Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Bihar,Begusarai,Aspirational,Gen,6,Boys,10000,0.22982411654871948
