state_name,category_name,aspirational_final,class,amount_of_scholarship,gender_male,is_outlier
Dadra and Nagar Haveli & Daman and Diu,Gen,False,0.75,20000.0,True,False
Dadra and Nagar Haveli & Daman and Diu,Gen,False,1.0,10000.0,True,False
Dadra and Nagar Haveli & Daman and Diu,Gen,False,0.75,10000.0,False,False
Dadra and Nagar Haveli & Daman and Diu,Gen,False,1.0,10000.0,False,False
Delhi,Gen,False,0.0,80000.0,True,False
Delhi,Gen,False,0.25,80000.0,True,False
Delhi,Gen,False,0.5,140000.0,True,False
Delhi,Gen,False,0.75,390000.0,True,False
Delhi,Gen,False,1.0,300000.0,True,False
Delhi,OBC,False,0.0,10000.0,True,False
Delhi,OBC,False,0.5,30000.0,True,False
Delhi,OBC,False,0.75,30000.0,True,False
Delhi,OBC,False,1.0,50000.0,True,False
Delhi,SC,False,0.5,30000.0,True,False
Delhi,SC,False,0.75,10000.0,True,False
Delhi,SC,False,1.0,40000.0,True,False
Delhi,Gen,False,0.0,50000.0,False,False
Delhi,Gen,False,0.25,80000.0,False,False
Delhi,Gen,False,0.5,130000.0,False,False
Delhi,Gen,False,0.75,210000.0,False,False
Delhi,Gen,False,1.0,270000.0,False,False
Delhi,OBC,False,0.5,30000.0,False,False
Delhi,OBC,False,0.75,10000.0,False,False
Delhi,OBC,False,1.0,10000.0,False,False
Delhi,SC,False,0.0,20000.0,False,False
Delhi,SC,False,0.5,10000.0,False,False
Delhi,SC,False,0.75,10000.0,False,False
Delhi,SC,False,1.0,10000.0,False,False
Goa,Gen,False,0.25,10000.0,True,False
Goa,Gen,False,0.5,30000.0,True,False
Goa,Gen,False,0.75,10000.0,True,False
Goa,Gen,False,1.0,10000.0,True,False
Goa,OBC,False,0.0,10000.0,True,False
Goa,OBC,False,0.75,10000.0,True,False
Goa,ST,False,0.25,10000.0,True,False
Goa,ST,False,0.5,10000.0,True,False
Goa,Gen,False,0.5,10000.0,False,False
Goa,OBC,False,0.0,10000.0,False,False
Goa,OBC,False,0.75,20000.0,False,False
Goa,ST,False,0.75,10000.0,False,False
Gujarat,Gen,True,0.5,20000.0,True,False
Gujarat,Gen,False,0.0,310000.0,True,False
Gujarat,Gen,False,0.25,350000.0,True,False
Gujarat,Gen,False,0.5,460000.0,True,False
Gujarat,Gen,False,0.75,220000.0,True,False
Gujarat,Gen,False,1.0,140000.0,True,False
Gujarat,OBC,True,0.25,30000.0,True,False
Gujarat,OBC,True,0.5,50000.0,True,False
Gujarat,OBC,False,0.0,480000.0,True,False
Gujarat,OBC,False,0.75,270000.0,True,False
Gujarat,OBC,False,1.0,110000.0,True,False
Gujarat,SC,False,0.0,30000.0,True,False
Gujarat,SC,False,0.25,150000.0,True,False
Gujarat,SC,False,0.5,150000.0,True,False
Gujarat,SC,False,0.75,60000.0,True,False
Gujarat,ST,True,0.25,70000.0,True,False
Gujarat,ST,True,0.5,80000.0,True,False
Gujarat,ST,False,0.0,250000.0,True,False
Gujarat,ST,False,0.25,330000.0,True,False
Gujarat,ST,False,0.5,380000.0,True,False
Gujarat,ST,False,0.75,100000.0,True,False
Gujarat,ST,False,1.0,60000.0,True,False
Gujarat,Gen,True,0.0,30000.0,False,False
Gujarat,Gen,True,0.25,10000.0,False,False
Gujarat,Gen,False,0.0,200000.0,False,False
Gujarat,Gen,False,0.25,490000.0,False,False
Gujarat,Gen,False,0.5,400000.0,False,False
Gujarat,Gen,False,0.75,190000.0,False,False
Gujarat,Gen,False,1.0,290000.0,False,False
Gujarat,OBC,True,0.0,10000.0,False,False
Gujarat,OBC,True,0.25,10000.0,False,False
Gujarat,OBC,True,0.5,40000.0,False,False
Gujarat,OBC,False,0.0,310000.0,False,False
Gujarat,OBC,False,0.75,160000.0,False,False
Gujarat,OBC,False,1.0,140000.0,False,False
Gujarat,SC,False,0.0,50000.0,False,False
Gujarat,SC,False,0.25,80000.0,False,False
Gujarat,SC,False,0.5,120000.0,False,False
Gujarat,SC,False,0.75,40000.0,False,False
Gujarat,SC,False,1.0,10000.0,False,False
Gujarat,ST,True,0.0,60000.0,False,False
Gujarat,ST,True,0.25,80000.0,False,False
Gujarat,ST,True,0.5,50000.0,False,False
Gujarat,ST,False,0.0,120000.0,False,False
Gujarat,ST,False,0.25,610000.0,False,False
Gujarat,ST,False,0.5,580000.0,False,False
Gujarat,ST,False,0.75,140000.0,False,False
Gujarat,ST,False,1.0,120000.0,False,False
Haryana,Gen,False,0.0,80000.0,True,False
Haryana,Gen,False,0.25,60000.0,True,False
Haryana,Gen,False,0.5,130000.0,True,False
Haryana,Gen,False,0.75,210000.0,True,False
Haryana,Gen,False,1.0,270000.0,True,False
Haryana,OBC,False,0.0,10000.0,True,False
Haryana,OBC,False,0.25,40000.0,True,False
Haryana,OBC,False,0.5,90000.0,True,False
Haryana,OBC,False,0.75,170000.0,True,False
Haryana,OBC,False,1.0,170000.0,True,False
Haryana,SC,False,0.0,40000.0,True,False
Haryana,SC,False,0.25,40000.0,True,False
Haryana,SC,False,0.5,50000.0,True,False
Haryana,SC,False,0.75,170000.0,True,False
Haryana,SC,False,1.0,80000.0,True,False
Haryana,Gen,False,0.0,70000.0,False,False
Haryana,Gen,False,0.25,140000.0,False,False
Haryana,Gen,False,0.5,140000.0,False,False
Haryana,Gen,False,0.75,180000.0,False,False
Haryana,Gen,False,1.0,310000.0,False,False
Haryana,OBC,False,0.0,10000.0,False,False
Haryana,OBC,False,0.25,20000.0,False,False
Haryana,OBC,False,0.5,130000.0,False,False
Haryana,OBC,False,0.75,160000.0,False,False
Haryana,OBC,False,1.0,180000.0,False,False
Haryana,SC,False,0.25,60000.0,False,False
Haryana,SC,False,0.5,40000.0,False,False
Haryana,SC,False,0.75,140000.0,False,False
Haryana,SC,False,1.0,140000.0,False,False
Himachal Pradesh,Gen,True,0.0,10000.0,True,False
Himachal Pradesh,Gen,True,0.25,30000.0,True,False
Himachal Pradesh,Gen,True,0.75,30000.0,True,False
Himachal Pradesh,Gen,True,1.0,20000.0,True,False
Himachal Pradesh,Gen,False,0.0,130000.0,True,False
Himachal Pradesh,Gen,False,0.25,220000.0,True,False
Himachal Pradesh,Gen,False,0.5,360000.0,True,False
Himachal Pradesh,Gen,False,0.75,500000.0,True,False
Himachal Pradesh,Gen,False,1.0,450000.0,True,False
Himachal Pradesh,OBC,False,0.0,10000.0,True,False
Himachal Pradesh,OBC,False,0.25,30000.0,True,False
Himachal Pradesh,OBC,False,0.5,50000.0,True,False
Himachal Pradesh,OBC,False,0.75,90000.0,True,False
Himachal Pradesh,OBC,False,1.0,90000.0,True,False
Himachal Pradesh,SC,True,1.0,20000.0,True,False
Himachal Pradesh,SC,False,0.0,60000.0,True,False
Himachal Pradesh,SC,False,0.25,90000.0,True,False
Himachal Pradesh,SC,False,0.5,170000.0,True,False
Himachal Pradesh,SC,False,0.75,160000.0,True,False
Himachal Pradesh,SC,False,1.0,120000.0,True,False
Himachal Pradesh,ST,True,0.25,10000.0,True,False
Himachal Pradesh,ST,True,0.75,20000.0,True,False
Himachal Pradesh,ST,False,0.5,20000.0,True,False
Himachal Pradesh,ST,False,0.75,40000.0,True,False
Himachal Pradesh,ST,False,1.0,20000.0,True,False
Himachal Pradesh,Gen,True,0.25,10000.0,False,False
Himachal Pradesh,Gen,True,0.5,20000.0,False,False
Himachal Pradesh,Gen,True,0.75,60000.0,False,False
Himachal Pradesh,Gen,True,1.0,30000.0,False,False
Himachal Pradesh,Gen,False,0.0,190000.0,False,False
Himachal Pradesh,Gen,False,0.25,220000.0,False,False
Himachal Pradesh,Gen,False,0.5,460000.0,False,False
Himachal Pradesh,Gen,False,0.75,620000.0,False,False
